Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwoFW_lr_0.001_valacc,DenseModel_lr_0.001_valacc,LLDLwoFW_lr_0.001_trainacc,DenseModel_lr_0.001_trainacc
41,0.839999974,0.50999999,0.74000001,0.924444437,0.482222229,0.50222224,0.75999999,0.610000014,0.722222209,0.671111107
42,0.810000002,0.439999998,0.419999987,0.918888867,0.526666641,0.458888888,0.75999999,0.74000001,0.75555557,0.680000007
43,0.839999974,0.460000008,0.25999999,0.906666696,0.560000002,0.467777789,0.629999995,0.649999976,0.763333321,0.687777758
44,0.829999983,0.74000001,0.280000001,0.895555556,0.522222221,0.540000021,0.629999995,0.670000017,0.75222224,0.712222219
45,0.879999995,0.319999993,0.74000001,0.910000026,0.485555559,0.50666666,0.629999995,0.730000019,0.727777779,0.683333337
46,0.860000014,0.74000001,0.379999995,0.906666696,0.48777777,0.557777762,0.689999998,0.709999979,0.74000001,0.696666658
47,0.860000014,0.400000006,0.689999998,0.922222197,0.50555557,0.525555551,0.639999986,0.680000007,0.777777791,0.721111119
48,0.839999974,0.74000001,0.74000001,0.934444427,0.513333321,0.50111109,0.779999971,0.689999998,0.778888881,0.713333309
49,0.810000002,0.74000001,0.360000014,0.910000026,0.525555551,0.565555573,0.699999988,0.709999979,0.797777772,0.726666689
50,0.810000002,0.439999998,0.389999986,0.902222216,0.529999971,0.49666667,0.75,0.699999988,0.795555532,0.723333359
51,0.819999993,0.74000001,0.400000006,0.911111116,0.523333311,0.521111131,0.699999988,0.709999979,0.75666666,0.736666679
52,0.819999993,0.74000001,0.389999986,0.932222247,0.49222222,0.553333342,0.660000026,0.730000019,0.814444423,0.732222199
53,0.860000014,0.430000007,0.74000001,0.870000005,0.548888862,0.49666667,0.560000002,0.639999986,0.75999999,0.74333334
54,0.819999993,0.74000001,0.400000006,0.916666687,0.50999999,0.49555555,0.629999995,0.699999988,0.75444442,0.728888869
55,0.810000002,0.360000014,0.430000007,0.915555537,0.51222223,0.51222223,0.680000007,0.660000026,0.725555539,0.75111109
56,0.829999983,0.370000005,0.74000001,0.912222207,0.5088889,0.5,0.709999979,0.75999999,0.74444443,0.75333333
57,0.899999976,0.74000001,0.74000001,0.927777767,0.529999971,0.516666651,0.730000019,0.75999999,0.7411111,0.767777801
58,0.860000014,0.409999996,0.430000007,0.925555527,0.50222224,0.551111102,0.670000017,0.680000007,0.75222224,0.75999999
59,0.860000014,0.430000007,0.74000001,0.894444466,0.49333334,0.561111093,0.74000001,0.75,0.74333334,0.776666641
60,0.839999974,0.409999996,0.74000001,0.939999998,0.523333311,0.50222224,0.699999988,0.689999998,0.76111114,0.777777791
61,0.870000005,0.449999988,0.419999987,0.904444456,0.556666672,0.4911111,0.699999988,0.589999974,0.76111114,0.790000021
62,0.75999999,0.439999998,0.400000006,0.915555537,0.538888872,0.532222211,0.709999979,0.680000007,0.75222224,0.800000012
63,0.790000021,0.74000001,0.409999996,0.926666677,0.534444451,0.49222222,0.670000017,0.649999976,0.771111131,0.795555532
64,0.860000014,0.439999998,0.419999987,0.923333347,0.551111102,0.537777781,0.720000029,0.620000005,0.713333309,0.807777762
