Epoch,LLDLwFW_valauc,LLDLwoFW_valauc,DenseModel_valauc,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainauc,LLDLwoFW_trainauc,DenseModel_trainauc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc
61,0.860966802,0.663721442,0.665020764,0.790000021,0.75,0.600000024,0.995887816,0.748322368,0.906738758,0.976666689,0.74777776,0.808888912
62,0.840436518,0.64994812,0.687110186,0.860000014,0.74000001,0.629999995,0.99758637,0.713813424,0.894489467,0.974444449,0.717777789,0.793333352
63,0.86382544,0.674376249,0.661642432,0.829999983,0.25999999,0.629999995,0.996554315,0.749587476,0.902707338,0.981111109,0.74444443,0.805555582
64,0.878638268,0.660602868,0.696985424,0.860000014,0.74000001,0.660000026,0.999459684,0.735131621,0.911394536,0.98888886,0.731111109,0.824444473
65,0.879417837,0.669958532,0.692827523,0.839999974,0.74000001,0.74000001,0.999718428,0.763732851,0.91586262,0.99555558,0.732222199,0.819999993
66,0.877858698,0.703222394,0.698544741,0.860000014,0.720000029,0.699999988,0.998851478,0.759316385,0.909886837,0.9911111,0.777777791,0.818888903
67,0.873440802,0.67775476,0.683731794,0.839999974,0.75,0.629999995,0.999715269,0.78369534,0.922838211,0.9911111,0.769999981,0.832222223
68,0.862526059,0.657744348,0.649688184,0.870000005,0.75,0.579999983,0.998942018,0.698885024,0.928791344,0.99222225,0.693333328,0.834444463
69,0.890592456,0.63123703,0.6569646,0.860000014,0.730000019,0.540000021,0.99474889,0.737962604,0.925358653,0.980000019,0.684444427,0.838888884
70,0.864864707,0.648128867,0.672817051,0.850000024,0.74000001,0.639999986,0.998447061,0.74559176,0.921673536,0.98777777,0.716666639,0.833333313
71,0.864864826,0.637733936,0.681133151,0.860000014,0.730000019,0.709999979,0.999511421,0.739609361,0.947754204,0.9911111,0.779999971,0.861111104
72,0.885654867,0.648908615,0.682172596,0.839999974,0.730000019,0.769999981,0.997647882,0.75011158,0.948864102,0.986666679,0.725555539,0.856666684
73,0.86174643,0.631496847,0.670738101,0.850000024,0.709999979,0.620000005,0.999657035,0.763587177,0.941341639,0.99333334,0.793333352,0.857777774
74,0.870582163,0.620062411,0.706340849,0.839999974,0.730000019,0.680000007,0.999899626,0.731439948,0.945531547,0.99333334,0.681111097,0.858888865
75,0.870062351,0.663201749,0.680873275,0.839999974,0.730000019,0.699999988,1,0.737263799,0.959327459,0.99888891,0.731111109,0.886666656
76,0.873960435,0.660862803,0.680873215,0.850000024,0.709999979,0.74000001,0.99999994,0.760134935,0.948822021,0.99666667,0.731111109,0.861111104
77,0.876039505,0.620842099,0.690488577,0.860000014,0.75,0.779999971,0.999928713,0.750622869,0.962087333,0.99666667,0.75444442,0.886666656
78,0.841736019,0.662941873,0.730249465,0.769999981,0.699999988,0.720000029,0.99933672,0.746756494,0.969464004,0.98888886,0.76444447,0.896666646
79,0.867203951,0.657744288,0.723752618,0.850000024,0.769999981,0.75,0.974983573,0.736299574,0.972492397,0.943333328,0.74555558,0.905555546
80,0.891631961,0.670218289,0.674116373,0.839999974,0.75,0.649999976,0.99594605,0.728680074,0.971366346,0.965555549,0.730000019,0.911111116
81,0.906185031,0.653586268,0.729989529,0.879999995,0.75999999,0.75,0.998696148,0.734319568,0.976947546,0.98555553,0.75999999,0.918888867
82,0.895789981,0.64241159,0.725831568,0.860000014,0.75,0.74000001,0.999165297,0.758481681,0.96911788,0.98888886,0.795555532,0.903333306
83,0.893970788,0.667619526,0.715696454,0.860000014,0.75,0.709999979,0.997952044,0.729029536,0.971091449,0.99000001,0.771111131,0.902222216
