Epoch,LLDLwFW_valacc,LLDLwoFW_valacc,DenseModel_valacc,LLDLwFW_trainacc,LLDLwoFW_trainacc,DenseModel_trainacc,LLDLwFW_v1_valacc,LLDLwFW_v1_trainacc
111,0.839999974,0.5,0.699999988,1,0.610000014,0.98555553,0.850000024,0.99777776
112,0.839999974,0.5,0.689999998,1,0.607777774,0.98777777,0.850000024,0.99888891
113,0.839999974,0.49000001,0.730000019,1,0.548888862,0.99444443,0.839999974,1
114,0.850000024,0.74000001,0.720000029,1,0.576666653,0.99444443,0.839999974,1
115,0.839999974,0.560000002,0.699999988,1,0.611111104,0.99000001,0.839999974,1
116,0.839999974,0.550000012,0.720000029,1,0.612222195,0.99333334,0.839999974,1
117,0.839999974,0.50999999,0.670000017,1,0.636666656,0.980000019,0.850000024,1
118,0.850000024,0.540000021,0.720000029,1,0.616666675,0.972222209,0.850000024,1
119,0.850000024,0.74000001,0.699999988,1,0.578888893,0.984444439,0.850000024,1
120,0.839999974,0.560000002,0.689999998,1,0.637777805,0.978888869,0.839999974,1
121,0.850000024,0.579999983,0.720000029,1,0.623333335,0.916666687,0.839999974,1
122,0.850000024,0.529999971,0.670000017,1,0.615555584,0.958888888,0.839999974,1
123,0.839999974,0.579999983,0.699999988,1,0.607777774,0.99000001,0.850000024,1
124,0.850000024,0.560000002,0.680000007,1,0.616666675,0.99666667,0.839999974,1
125,0.850000024,0.589999974,0.689999998,1,0.606666684,0.99888891,0.839999974,1
126,0.850000024,0.600000024,0.680000007,1,0.606666684,0.99555558,0.839999974,1
127,0.850000024,0.74000001,0.689999998,1,0.602222204,0.99777776,0.839999974,1
128,0.850000024,0.560000002,0.709999979,1,0.624444425,0.99888891,0.839999974,1
129,0.850000024,0.579999983,0.680000007,1,0.625555575,0.99888891,0.839999974,1
130,0.850000024,0.550000012,0.680000007,1,0.628888905,0.99888891,0.819999993,0.98888886
131,0.850000024,0.589999974,0.689999998,1,0.608888865,0.99777776,0.819999993,0.920000017
132,0.850000024,0.560000002,0.689999998,1,0.637777805,1,0.829999983,0.964444458
133,0.850000024,0.550000012,0.699999988,1,0.616666675,1,0.870000005,0.986666679
134,0.850000024,0.550000012,0.709999979,1,0.644444466,0.99888891,0.860000014,0.99444443
135,0.850000024,0.560000002,0.699999988,1,0.657777786,1,0.870000005,0.99222225
136,0.850000024,0.560000002,0.720000029,1,0.647777796,1,0.850000024,0.99333334
137,0.850000024,0.529999971,0.720000029,1,0.621111095,1,0.870000005,0.99888891
138,0.850000024,0.540000021,0.699999988,1,0.607777774,1,0.870000005,0.99333334
139,0.850000024,0.560000002,0.709999979,1,0.578888893,1,0.870000005,0.99555558
140,0.850000024,0.560000002,0.709999979,1,0.603333354,1,0.870000005,0.99666667
141,0.850000024,0.550000012,0.720000029,1,0.613333344,1,0.860000014,0.98777777
142,0.850000024,0.50999999,0.709999979,1,0.612222195,1,0.860000014,0.974444449
